mes;uf;consumidor;consumo;consumo cativo
2018-01-01;RO;Residencial;101913.56;
2018-02-01;RO;Residencial;94846.60;
2018-03-01;RO;Residencial;100081.63;
2018-04-01;RO;Residencial;102370.11;
2018-05-01;RO;Residencial;105804.33;
2018-06-01;RO;Residencial;94764.32;
2018-07-01;RO;Residencial;101236.59;
2018-08-01;RO;Residencial;109886.87;
2018-09-01;RO;Residencial;103527.79;
2018-10-01;RO;Residencial;121477.92;
2018-11-01;RO;Residencial;115404.40;
2018-12-01;RO;Residencial;97669.13;
2019-01-01;RO;Residencial;106303.34;
2019-02-01;RO;Residencial;102018.93;
2019-03-01;RO;Residencial;98208.79;
2019-04-01;RO;Residencial;104014.44;
2019-05-01;RO;Residencial;106563.17;
2019-06-01;RO;Residencial;99780.53;
2019-07-01;RO;Residencial;110211.82;
2019-08-01;RO;Residencial;108533.35;
2019-09-01;RO;Residencial;120131.44;
2019-10-01;RO;Residencial;114688.70;
2019-11-01;RO;Residencial;109764.30;
2019-12-01;RO;Residencial;110876.42;
2020-01-01;RO;Residencial;108742.40;
2020-02-01;RO;Residencial;114318.56;
2020-03-01;RO;Residencial;110924.56;
2020-04-01;RO;Residencial;111782.09;
2020-05-01;RO;Residencial;113115.72;
2020-06-01;RO;Residencial;103767.40;
2020-07-01;RO;Residencial;114076.13;
2020-08-01;RO;Residencial;123152.02;
2020-09-01;RO;Residencial;135238.42;
2020-10-01;RO;Residencial;143399.00;
2020-11-01;RO;Residencial;129261.28;
2020-12-01;RO;Residencial;140251.68;
2021-01-01;RO;Residencial;106564.52;
2021-02-01;RO;Residencial;104261.51;
2021-03-01;RO;Residencial;113114.35;
2021-04-01;RO;Residencial;120227.10;
2021-05-01;RO;Residencial;120710.77;
2021-06-01;RO;Residencial;120722.35;
2021-07-01;RO;Residencial;114507.26;
2021-08-01;RO;Residencial;126780.85;
2021-09-01;RO;Residencial;141407.91;
2021-10-01;RO;Residencial;141411.05;
2021-11-01;RO;Residencial;129093.55;
2021-12-01;RO;Residencial;126716.84;
2018-01-01;AC;Residencial;36978.14;
2018-02-01;AC;Residencial;38588.78;
2018-03-01;AC;Residencial;37816.38;
2018-04-01;AC;Residencial;29713.78;
2018-05-01;AC;Residencial;37437.29;
2018-06-01;AC;Residencial;34325.59;
