mes,val_dispf,val_indisppf,val_indispff
2011-01-01,91.7105,7.0246,1.2647
2011-02-01,89.9401,8.2315,1.8282
2011-03-01,89.3349,8.4003,2.2647
2011-04-01,89.9785,8.374,1.6474
2011-05-01,89.3121,8.6566,2.0311
2011-06-01,89.3892,8.589,2.0217
2011-07-01,88.4055,9.2883,2.306
2011-08-01,87.1408,10.3696,2.4894
2011-09-01,86.9057,10.608,2.4862
2011-10-01,88.374,9.444,2.1819
2011-11-01,89.2772,8.3096,2.413
2011-12-01,89.4806,8.1912,2.3281
2012-01-01,89.7217,8.4222,1.856
2012-02-01,88.3207,9.0998,2.5793
2012-03-01,87.2081,9.877,2.9147
2012-04-01,87.6383,9.6739,2.6876
2012-05-01,88.2369,9.6933,2.0696
2012-06-01,88.709,9.1717,2.1192
2012-07-01,87.9988,9.5015,2.4996
2012-08-01,87.7027,10.1541,2.1431
2012-09-01,88.3173,10.0131,1.6695
2012-10-01,87.9713,10.44,1.5886
2012-11-01,88.0432,10.5559,1.4008
2012-12-01,89.4732,8.6637,1.863
2013-01-01,90.47,7.3063,2.2235
2013-02-01,90.526,7.146,2.3279
2013-03-01,89.2729,8.1011,2.6258
2013-04-01,87.8034,9.702,2.4945
2013-05-01,88.9475,8.6337,2.4187
2013-06-01,90.1349,7.7435,2.1215
2013-07-01,89.0082,8.2482,2.7434
2013-08-01,88.5344,9.1179,2.3475
2013-09-01,88.3133,9.1198,2.5668
2013-10-01,89.0591,8.5109,2.4299
2013-11-01,88.0996,9.3752,2.525
2013-12-01,89.8839,7.4861,2.6299
2014-01-01,89.9547,7.0576,2.9875
2014-02-01,90.3325,6.581,3.0863
2014-03-01,90.1616,7.1046,2.7336
2014-04-01,89.057,8.1674,2.7754
2014-05-01,86.8079,10.1177,3.0743
2014-06-01,89.9653,7.3581,2.6765
2014-07-01,89.4878,7.6176,2.8945
2014-08-01,86.3184,10.8052,2.8762
2014-09-01,84.901,11.1284,3.7266
2014-10-01,87.2924,9.22,3.1877
2014-11-01,87.7764,8.769,3.2452
2014-12-01,89.3354,7.7175,2.9469
2015-01-01,88.5715,7.3982,4.0301
2015-02-01,89.212,7.6673,3.1205
2015-03-01,87.7808,9.1186,3.1004
2015-04-01,88.2381,8.0313,3.7304
2015-05-01,86.4697,9.6202,3.9099
2015-06-01,86.3493,9.9696,3.6809
2015-07-01,86.6347,10.1061,3.2591
2015-08-01,85.8629,10.5667,3.5703
2015-09-01,83.6221,11.7162,4.6616
2015-10-01,84.0867,11.4873,4.4259
2015-11-01,84.7289,10.5587,4.7123
2015-12-01,86.5136,8.8065,4.6798
2016-01-01,86.8029,8.1762,5.0208
2016-02-01,85.6181,9.3319,5.0499
2016-03-01,84.3102,10.2413,5.4483
2016-04-01,84.4204,10.3615,5.218
2016-05-01,84.4265,10.6556,4.9178
2016-06-01,84.4955,10.3716,5.1328
2016-07-01,84.7966,10.2145,4.9888
2016-08-01,85.4014,10.5281,4.0704
2016-09-01,83.9348,11.8614,4.2037
2016-10-01,82.5593,12.601,4.8396
2016-11-01,82.9886,12.3592,4.652
2016-12-01,84.8797,10.4288,4.6913
2017-01-01,87.3286,7.7847,4.8865
2017-02-01,87.3249,7.8781,4.7969
2017-03-01,86.1809,8.4435,5.3755
2017-04-01,85.4286,9.3034,5.2678
2017-05-01,84.7275,10.2695,5.0028
2017-06-01,84.0009,10.9971,5.0018
2017-07-01,85.7293,10.3472,3.9234
2017-08-01,83.3173,11.7531,4.9294
2017-09-01,80.0487,14.4429,5.5083
2017-10-01,81.2656,12.9356,5.7987
2017-11-01,82.3049,11.4758,6.2191
2017-12-01,85.2925,8.4414,6.266
2018-01-01,86.9433,7.0733,5.9833
2018-02-01,87.7191,7.2014,5.0793
2018-03-01,85.1014,8.704,6.1944
2018-04-01,84.6676,10.0494,5.2828
2018-05-01,85.8761,9.4667,4.657
2018-06-01,85.7563,9.7781,4.4655
2018-07-01,84.2078,10.9961,4.796
2018-08-01,80.0076,14.4445,5.5477
2018-09-01,78.5772,17.4249,3.9977
2018-10-01,81.8473,14.027,4.1256
2018-11-01,83.1567,12.8164,4.0268
2018-12-01,86.2116,9.3036,4.4847
2019-01-01,87.975,7.0283,4.9965
2019-02-01,88.6627,6.5117,4.8254
2019-03-01,89.0809,6.4212,4.4978
2019-04-01,87.568,7.7465,4.6853
2019-05-01,88.1763,7.5647,4.2589
2019-06-01,87.6042,8.2677,4.1279
2019-07-01,84.775,11.601,3.6238
2019-08-01,83.6326,13.0779,3.2893
2019-09-01,81.4756,15.1942,3.3301
2019-10-01,82.1233,14.2342,3.6424
2019-11-01,82.4989,13.7225,3.7785
2019-12-01,87.7139,8.8873,3.3987
2020-01-01,89.4093,6.8889,3.7016
2020-02-01,89.4595,6.712,3.8283
2020-03-01,90.1223,6.0481,3.8294
2020-04-01,91.8222,5.1049,3.0728
2020-05-01,90.6494,5.9261,3.4243
2020-06-01,89.5487,7.7384,2.7128
2020-07-01,88.071,9.1347,2.7941
2020-08-01,86.1114,11.4946,2.3938
2020-09-01,83.8943,13.6585,2.4471
2020-10-01,85.0284,12.4246,2.5469
2020-11-01,84.9042,11.5932,3.5025
2020-12-01,87.6203,9.2826,3.097
2021-01-01,88.5081,8.0085,3.4832
2021-02-01,88.7576,8.0283,3.214
2021-03-01,88.767,7.7575,3.4754
2021-04-01,88.8769,7.9312,3.1918
2021-05-01,88.2723,9.1314,2.5961
2021-06-01,86.6803,10.3064,3.0131
2021-07-01,84.8856,12.1601,2.9541
2021-08-01,83.6558,13.4492,2.8948
2021-09-01,83.4351,13.62,2.9447
2021-10-01,84.1871,12.683,3.1298
2021-11-01,85.7137,11.7558,2.5304
2021-12-01,89.1834,8.4734,2.3431
2022-01-01,90.9889,6.803,2.2079
2022-02-01,91.2614,6.7267,2.0118
2022-03-01,91.705,6.7452,1.5497
