subsistema,mes,carga_mensal_MWmed
N,2000-01-01,2397.644
N,2000-02-01,2409.035
N,2000-03-01,2407.973
N,2000-04-01,2417.57
N,2000-05-01,2461.8
N,2000-06-01,2487.265
N,2000-07-01,2441.674
N,2000-08-01,2564.469
N,2000-09-01,2586.58
N,2000-10-01,2565.322
N,2000-11-01,2562.266
N,2000-12-01,2540.147
N,2001-01-01,2521.862
N,2001-02-01,2508.25
N,2001-03-01,2523.3
N,2001-04-01,2543.348
N,2001-05-01,2607.195
N,2001-06-01,2539.352
N,2001-07-01,2220.612
N,2001-08-01,2150.639
N,2001-09-01,2065.403
N,2001-10-01,2095.14
N,2001-11-01,2058.807
N,2001-12-01,2027.058
N,2002-01-01,2169.835
N,2002-02-01,2179.53
N,2002-03-01,2306.499
N,2002-04-01,2495.565
N,2002-05-01,2282.08
N,2002-06-01,2297.158
N,2002-07-01,2369.905
N,2002-08-01,2439.609
N,2002-09-01,2347.179
N,2002-10-01,2267.899
N,2002-11-01,2313.475
N,2002-12-01,2588.39
N,2003-01-01,2611.264
N,2003-02-01,2682.507
N,2003-03-01,2712.742
N,2003-04-01,2774.447
N,2003-05-01,2846.967
N,2003-06-01,2862.792
N,2003-07-01,2745.872
N,2003-08-01,2610.082
N,2003-09-01,2666.067
N,2003-10-01,2683.479
N,2003-11-01,2872.801
N,2003-12-01,2829.302
N,2004-01-01,2866.968
N,2004-02-01,2846.257
N,2004-03-01,2922.584
N,2004-04-01,2924.741
N,2004-05-01,2988.827
N,2004-06-01,2997.6
N,2004-07-01,2991.481
N,2004-08-01,3014.821
N,2004-09-01,3042.842
N,2004-10-01,3033.287
N,2004-11-01,3022.35
N,2004-12-01,3022.021
N,2005-01-01,2982.25
N,2005-02-01,2991.045
N,2005-03-01,3041.241
N,2005-04-01,3043.095
N,2005-05-01,3112.13
N,2005-06-01,3126.658
N,2005-07-01,3026.746
N,2005-08-01,3134.207
N,2005-09-01,3169.679
N,2005-10-01,3160.953
N,2005-11-01,3207.022
N,2005-12-01,3215.386
N,2006-01-01,3241.998
N,2006-02-01,3285.106
N,2006-03-01,3305.504
N,2006-04-01,3262.093
N,2006-05-01,3351.243
N,2006-06-01,3396.611
N,2006-07-01,3324.3
N,2006-08-01,3437.6
N,2006-09-01,3412.262
N,2006-10-01,3420.352
N,2006-11-01,3389.91
N,2006-12-01,3401.543
N,2007-01-01,3420.176
N,2007-02-01,3313.05
N,2007-03-01,3390.018
N,2007-04-01,3481.117
N,2007-05-01,3537.5
N,2007-06-01,3457.954
N,2007-07-01,3434.062
N,2007-08-01,3526.164
N,2007-09-01,3552.606
N,2007-10-01,3562.313
N,2007-11-01,3533.287
N,2007-12-01,3495.224
N,2008-01-01,3467.765
N,2008-02-01,3533.273
N,2008-03-01,3556.943
N,2008-04-01,3605.883
N,2008-05-01,3641.963
N,2008-06-01,3633.811
N,2008-07-01,3624.531
N,2008-08-01,3693.587
N,2008-09-01,3741.493
N,2008-10-01,3744.641
N,2008-11-01,3692.19
N,2008-12-01,3619.029
N,2009-01-01,3569.129
N,2009-02-01,3483.245
N,2009-03-01,3570.145
N,2009-04-01,3552.643
N,2009-05-01,3539.468
N,2009-06-01,3623.457
N,2009-07-01,3568.449
N,2009-08-01,3587.158
N,2009-09-01,3635.328
N,2009-10-01,3610.089
N,2009-11-01,3651.676
N,2009-12-01,3660.207
N,2010-01-01,3713.622
N,2010-02-01,3806.767
N,2010-03-01,3907.496
N,2010-04-01,3839.546
N,2010-05-01,3887.545
N,2010-06-01,3792.42
N,2010-07-01,3777.026
N,2010-08-01,3861.285
N,2010-09-01,3938.015
N,2010-10-01,3897.174
N,2010-11-01,3902.776
N,2010-12-01,3851.788
N,2011-01-01,3793.574
N,2011-02-01,3863.923
N,2011-03-01,3938.356
N,2011-04-01,4035.886
N,2011-05-01,4098.871
N,2011-06-01,4034.109
N,2011-07-01,3941.898
N,2011-08-01,4078.852
N,2011-09-01,4127.865
N,2011-10-01,4062.885
N,2011-11-01,4041.617
N,2011-12-01,4067.699
N,2012-01-01,4004.552
N,2012-02-01,4072.519
N,2012-03-01,4149.511
N,2012-04-01,4189.553
N,2012-05-01,4116.466
N,2012-06-01,3933.951
N,2012-07-01,3927.909
N,2012-08-01,4044.912
N,2012-09-01,4130.994
N,2012-10-01,4100.419
N,2012-11-01,4041.705
N,2012-12-01,3932.702
N,2013-01-01,3955.971
N,2013-02-01,4068.563
N,2013-03-01,4218.488
N,2013-04-01,4244.864
N,2013-05-01,4215.809
N,2013-06-01,4017.346
N,2013-07-01,4637.349
N,2013-08-01,5179.057
N,2013-09-01,5188.625
N,2013-10-01,5141.037
N,2013-11-01,5038.769
N,2014-01-01,5182.912
N,2014-03-01,5190.217
N,2014-04-01,5224.975
N,2014-05-01,5127.942
N,2014-06-01,4984.798
N,2014-07-01,4995.029
N,2014-08-01,5116.611
N,2014-09-01,5294.31
N,2014-10-01,5120.88
N,2014-11-01,5151.166
N,2014-12-01,5068.562
N,2015-01-01,4992.721
N,2015-02-01,5002.3
N,2015-03-01,5091.455
N,2015-05-01,5120.86
N,2015-06-01,5086.499
N,2015-07-01,5020.198
N,2015-08-01,5236.492
N,2015-09-01,5547.031
N,2015-10-01,5538.573
N,2015-11-01,5459.614
N,2015-12-01,5383.416
N,2016-01-01,5142.322
N,2016-02-01,5239.368
N,2016-03-01,5293.72
N,2016-05-01,5301.941
N,2016-06-01,5170.981
N,2016-07-01,5206.955
N,2016-08-01,5478.997
N,2016-09-01,5447.029
N,2016-10-01,5461.129
N,2016-11-01,5581.77
N,2016-12-01,5234.09
N,2017-01-01,5077.383
N,2017-02-01,5165.331
N,2017-03-01,5392.11
N,2017-04-01,5287.422
N,2017-05-01,5590.204
N,2017-06-01,5474.737
N,2017-07-01,5307.818
N,2017-08-01,5572.567
N,2017-09-01,5625.764
N,2017-10-01,5600.031
N,2017-11-01,5554.896
N,2017-12-01,5383.587
N,2018-01-01,5275.121
N,2018-02-01,5383.37
N,2018-03-01,5561.757
N,2018-04-01,5318.736
N,2018-05-01,5184.072
N,2018-06-01,5221.354
N,2018-07-01,5115.064
N,2018-08-01,5278.885
N,2018-09-01,5402.495
N,2018-10-01,5431.139
N,2018-11-01,5293.622
N,2018-12-01,5137.02
N,2019-01-01,5298.128
N,2019-02-01,5503.674
N,2019-03-01,5416.768
N,2019-04-01,5364.515
N,2019-05-01,5514.032
N,2019-06-01,5448.672
N,2019-07-01,5374.946
N,2019-08-01,5541.226
N,2019-09-01,5662.78
N,2019-10-01,5596.46
N,2019-11-01,5703.99
N,2019-12-01,5580.739
N,2020-01-01,5411.998
N,2020-02-01,5513.525
N,2020-03-01,5347.474
N,2020-04-01,4921.121
N,2020-05-01,5111.484
N,2020-06-01,5286.123
N,2020-07-01,5387.091
N,2020-08-01,5753.43
N,2020-09-01,5918.472
N,2020-10-01,5961.544
N,2020-11-01,5777.466
N,2020-12-01,5806.536
N,2021-01-01,5519.242
N,2021-02-01,5661.049
N,2021-03-01,5821.536
N,2021-04-01,6006.174
N,2021-05-01,6008.308
N,2021-06-01,5958.224
N,2021-07-01,5939.407
