data;fonte_energia;total_pago;total_recebido;total_energia_entregue;total_energia_recebida;total_capacidade;total_geracao_centro_gravidade
2020-02-01;Hidráulica;182176.0;195361.0;12086.0;11329.0;109900.52500000008;51325
2020-02-01;Térmica bi-Combustível - gás/óleo;0.0;0.0;0.0;0.0;2316.1569999999997;339
2020-02-01;Térmica a Óleo;0.0;0.0;0.0;0.0;4641.745;7
2020-02-01;Hidráulica CGH;1017.0;79.0;2.0;53.0;375.71799999999996;138
2020-02-01;Térmica a Carvão Mineral;0.0;0.0;0.0;0.0;3463.411;1248
2020-02-01;Hidráulica PCH;15940.0;3694.0;276.0;982.0;5256.322000000002;3017
2020-02-01;Térmica a Gás;0.0;0.0;0.0;0.0;16392.467;4095
2020-02-01;Térmica a Biomassa;0.0;0.0;0.0;0.0;13119.601000000004;925
2020-02-01;Térmica - Outros;0.0;0.0;0.0;0.0;10035.2;359
2020-02-01;Térmica Nuclear;0.0;0.0;0.0;0.0;2007;1244
2020-02-01;Eólica;0.0;0.0;0.0;0.0;15522.179000000013;3955
2020-02-01;Térmica a GNL;0.0;0.0;0.0;0.0;1719.63;195
2020-02-01;Solar Fotovoltaica;0.0;0.0;0.0;0.0;2986.327;578
2020-02-01;Térmica Reação Exotérmica;0.0;0.0;0.0;0.0;5;0
2020-03-01;Hidráulica;196385.0;211844.0;15184.0;14093.0;109900.52500000008;50906
2020-03-01;Térmica bi-Combustível - gás/óleo;0.0;0.0;0.0;0.0;2316.1569999999997;321
2020-03-01;Térmica a Óleo;0.0;0.0;0.0;0.0;4641.745;15
2020-03-01;Hidráulica CGH;1207.0;48.0;2.0;81.0;384.63599999999985;120
2020-03-01;Térmica a Carvão Mineral;0.0;0.0;0.0;0.0;3463.411;746
2020-03-01;Hidráulica PCH;17789.0;3474.0;265.0;1269.0;5252.122000000002;2853
2020-03-01;Térmica a Gás;0.0;0.0;0.0;0.0;16392.467;2683
2020-03-01;Térmica a Biomassa;0.0;0.0;0.0;0.0;13131.289000000004;1337
2020-03-01;Térmica - Outros;0.0;0.0;0.0;0.0;11135.199999999999;391
2020-03-01;Térmica Nuclear;0.0;0.0;0.0;0.0;2007;1571
2020-03-01;Eólica;0.0;0.0;0.0;0.0;15734.429000000011;2971
2020-03-01;Térmica a GNL;0.0;0.0;0.0;0.0;1719.64;238
2020-03-01;Solar Fotovoltaica;0.0;0.0;0.0;0.0;3036.8880000000004;573
2020-03-01;Térmica Reação Exotérmica;0.0;0.0;0.0;0.0;5;0
2020-01-01;Hidráulica;188344.0;200813.0;10602.0;10039.0;109900.52500000008;47707
2020-01-01;Térmica bi-Combustível - gás/óleo;0.0;0.0;0.0;0.0;2316.1569999999997;431
2020-01-01;Térmica a Óleo;0.0;0.0;0.0;0.0;4641.745;14
2020-01-01;Hidráulica CGH;946.0;75.0;1.0;38.0;372.645;121
2020-01-01;Térmica a Carvão Mineral;0.0;0.0;0.0;0.0;3463.411;2094
2020-01-01;Hidráulica PCH;15356.0;3746.0;285.0;827.0;5250.322000000002;2732
2020-01-01;Térmica a Gás;0.0;0.0;0.0;0.0;16392.467;6661
2020-01-01;Térmica a Biomassa;0.0;0.0;0.0;0.0;13090.901000000003;987
2020-01-01;Térmica - Outros;0.0;0.0;0.0;0.0;10035.2;282
2020-01-01;Térmica Nuclear;0.0;0.0;0.0;0.0;2007;1427
2020-01-01;Eólica;0.0;0.0;0.0;0.0;15484.379000000014;3706
2020-01-01;Térmica a GNL;0.0;0.0;0.0;0.0;1719.63;192
2020-01-01;Solar Fotovoltaica;0.0;0.0;0.0;0.0;2695.276999999999;564
2020-01-01;Térmica Reação Exotérmica;0.0;0.0;0.0;0.0;5;0
2020-10-01;Hidráulica;187394.0;196766.0;11559.0;11050.0;109956.89000000007;41882
2020-10-01;Térmica bi-Combustível - gás/óleo;0.0;0.0;0.0;0.0;1316.157;124
2020-10-01;Térmica a Óleo;0.0;0.0;0.0;0.0;4329.800000000001;514
2020-10-01;Hidráulica CGH;910.0;195.0;13.0;37.0;455.91099999999994;92
2020-10-01;Térmica a Carvão Mineral;0.0;0.0;0.0;0.0;3017.411;1774
2020-10-01;Hidráulica PCH;10927.0;2250.0;164.0;647.0;5269.202000000003;1571
2020-10-01;Térmica a Gás;0.0;0.0;0.0;0.0;14403.771999999997;6578
2020-10-01;Térmica a Biomassa;0.0;0.0;0.0;0.0;13387.079000000005;4138
2020-10-01;Térmica - Outros;0.0;0.0;0.0;0.0;11135.2;991
2020-10-01;Térmica Nuclear;0.0;0.0;0.0;0.0;2007;1705
2020-10-01;Térmica a GNL;0.0;0.0;0.0;0.0;2219.6400000000003;180
2020-10-01;Eólica;0.0;0.0;0.0;0.0;17004.579000000005;7671
2020-10-01;Solar Fotovoltaica;0.0;0.0;0.0;0.0;3250.0869999999995;658
2020-10-01;Térmica Reação Exotérmica;0.0;0.0;0.0;0.0;5;0
2020-04-01;Hidráulica;146082.0;154305.0;11410.0;10825.0;109900.52500000008;41687
2020-04-01;Térmica bi-Combustível - gás/óleo;0.0;0.0;0.0;0.0;1816.157;285
2020-04-01;Térmica a Óleo;0.0;0.0;0.0;0.0;4329.800000000001;8
2020-04-01;Hidráulica CGH;883.0;50.0;1.0;56.0;385.63599999999985;108
2020-04-01;Térmica a Carvão Mineral;0.0;0.0;0.0;0.0;3017.411;242
2020-04-01;Hidráulica PCH;11567.0;4169.0;325.0;851.0;5282.122000000001;2507
2020-04-01;Térmica a Gás;0.0;0.0;0.0;0.0;14934.171999999999;2142
2020-04-01;Térmica a Biomassa;0.0;0.0;0.0;0.0;13196.289000000004;3210
2020-04-01;Térmica - Outros;0.0;0.0;0.0;0.0;11135.199999999999;233
2020-04-01;Térmica Nuclear;0.0;0.0;0.0;0.0;2007;1718
2020-04-01;Eólica;0.0;0.0;0.0;0.0;15903.30400000001;4202
2020-04-01;Térmica a GNL;0.0;0.0;0.0;0.0;1719.64;496
2020-04-01;Solar Fotovoltaica;0.0;0.0;0.0;0.0;3082.568;628
2020-04-01;Térmica Reação Exotérmica;0.0;0.0;0.0;0.0;5;0
2020-05-01;Hidráulica;161626.0;170256.0;10775.0;10271.0;109928.12500000009;39370
2020-05-01;Térmica bi-Combustível - gás/óleo;0.0;0.0;0.0;0.0;1316.157;120
2020-05-01;Térmica a Óleo;0.0;0.0;0.0;0.0;4329.800000000001;9
2020-05-01;Hidráulica CGH;932.0;70.0;2.0;46.0;392.0459999999998;111
2020-05-01;Térmica a Carvão Mineral;0.0;0.0;0.0;0.0;3017.411;557
2020-05-01;Hidráulica PCH;11539.0;3768.0;291.0;732.0;5257.922000000002;2236
2020-05-01;Térmica a Gás;0.0;0.0;0.0;0.0;14934.171999999999;1912
2020-05-01;Térmica a Biomassa;0.0;0.0;0.0;0.0;13268.089000000005;4147
2020-05-01;Térmica - Outros;0.0;0.0;0.0;0.0;11135.2;268
2020-05-01;Térmica Nuclear;0.0;0.0;0.0;0.0;2007;1821
2020-05-01;Térmica a GNL;0.0;0.0;0.0;0.0;2219.6400000000003;556
2020-05-01;Eólica;0.0;0.0;0.0;0.0;16018.764000000001;5013
2020-05-01;Solar Fotovoltaica;0.0;0.0;0.0;0.0;3082.947;632
2020-05-01;Térmica Reação Exotérmica;0.0;0.0;0.0;0.0;5;0
2020-11-01;Hidráulica;187846.0;194298.0;11271.0;10969.0;109956.89000000007;38170
2020-11-01;Térmica bi-Combustível - gás/óleo;0.0;0.0;0.0;0.0;1316.157;132
