data;total_pago;total_recebido;total_energia_entregue;total_energia_recebida;total_capacidade;total_geracao_centro_gravidade
2020-02-01;199133.0;199134.0;12364.0;12364.0;187741.2820000003;67425
2020-03-01;215381.0;215366.0;15451.0;15443.0;189120.50900000028;64725
2020-01-01;204646.0;204634.0;10888.0;10904.0;187374.65900000033;66918
2020-10-01;199231.0;199211.0;11736.0;11734.0;187757.7280000001;67878
2020-04-01;158532.0;158524.0;11736.0;11732.0;186714.82400000028;57466
2020-05-01;174097.0;174094.0;11068.0;11049.0;186912.2730000002;56752
2020-11-01;198101.0;198093.0;11553.0;11552.0;189628.24300000007;66315
2020-07-01;142548.0;142539.0;9226.0;9216.0;187466.2280000001;60828
2020-12-01;157024.0;157027.0;10103.0;10092.0;190166.67700000008;67526
2020-06-01;137413.0;137416.0;8583.0;8600.0;187162.19300000012;58740
2020-08-01;187961.0;187966.0;10788.0;10784.0;187297.06700000004;61737
2020-09-01;194859.0;194861.0;11832.0;11831.0;187559.62900000007;66137
2018-06-01;155093.0;155078.0;8558.0;8556.0;174759.70000000027;60127
2018-12-01;164815.0;164817.0;9831.0;9829.0;179260.73000000027;64060
2018-07-01;158294.0;158285.0;9389.0;9382.0;174914.80000000034;60436
2018-11-01;245246.0;245308.0;12838.0;12826.0;178641.9200000003;64050
2018-05-01;188209.0;188215.0;11524.0;11508.0;176271.3350000003;60280
2018-10-01;235374.0;236272.0;12567.0;12530.0;178374.7470000003;63963
2018-01-01;249891.0;249876.0;13678.0;13677.0;174893.65900000022;64698
2018-03-01;221907.0;221897.0;12773.0;12772.0;174492.0790000002;63777
2018-02-01;225553.0;225536.0;12406.0;12398.0;175079.00900000022;64671
2018-09-01;177309.0;177296.0;10653.0;10656.0;177765.70400000023;61800
2018-08-01;199767.0;199748.0;10749.0;10746.0;175037.35400000028;60981
2022-04-01;173286.0;173290.0;12106.0;12102.0;199289.43499999982;67183
2022-01-01;181680.0;181691.0;12921.0;12909.0;197961.18499999988;68635
2022-02-01;189997.0;190009.0;13516.0;13499.0;198232.65299999985;70577
2022-03-01;178182.0;178181.0;12392.0;12400.0;198709.03799999983;71289
2021-09-01;194501.0;194484.0;9737.0;9731.0;196316.11999999997;66656
2021-08-01;130150.0;130138.0;8461.0;8456.0;195194.92299999998;63997
2021-01-01;188854.0;188849.0;9853.0;9827.0;190312.3070000001;68728
2021-03-01;183572.0;183549.0;13397.0;13400.0;192256.9940000001;68970
2021-02-01;255643.0;255617.0;12695.0;12696.0;191934.0230000001;69234
2021-06-01;104930.0;104917.0;7816.0;7826.0;193375.71800000014;63453
2021-12-01;146822.0;146816.0;10836.0;10829.0;197339.55499999985;66810
2021-07-01;109430.0;109441.0;7950.0;7964.0;194475.56100000005;62316
2021-11-01;178646.0;178627.0;9456.0;9440.0;196802.21199999985;66898
2021-05-01;168708.0;168708.0;11527.0;11534.0;193857.65000000014;64036
2021-04-01;161573.0;161573.0;12479.0;12463.0;192426.7350000001;65266
2021-10-01;240444.0;240455.0;10140.0;10138.0;196336.9719999999;65207
2019-08-01;164723.0;164722.0;9289.0;9274.0;187798.8990000003;61014
2019-09-01;198945.0;198938.0;10922.0;10911.0;188003.6230000003;63645
2019-10-01;180162.0;180150.0;10336.0;10332.0;188220.5330000003;66211
2019-04-01;181782.0;181766.0;11905.0;11896.0;186881.82900000032;64989
2019-05-01;140976.0;140982.0;10143.0;10137.0;187295.08100000033;63578
2019-11-01;156983.0;156974.0;9418.0;9414.0;189554.3400000003;65811
2019-07-01;158856.0;158829.0;8951.0;8950.0;187830.99400000027;60361
2019-12-01;159392.0;159392.0;9285.0;9280.0;189726.1130000003;64610
2019-06-01;132155.0;130768.0;8393.0;8500.0;187725.16600000032;60912
2019-02-01;161209.0;161198.0;11380.0;11371.0;185427.1130000003;68129
2019-03-01;196775.0;196770.0;12646.0;12644.0;186859.88300000032;65447
2019-01-01;172824.0;172813.0;11066.0;11071.0;180743.29900000032;69454
