data;uf;total_pago;total_recebido;total_energia_entregue;total_energia_recebida;total_capacidade;total_geracao_centro_gravidade
2020-02-01;MG;31949.0;12148.0;945.0;1976.0;15917.688999999998;5885
2020-02-01;SP;19007.0;18528.0;1450.0;1168.0;21939.110999999997;7238
2020-02-01;RJ;435.0;3402.0;266.0;25.0;12003.506000000001;4072
2020-02-01;GO;15619.0;5612.0;437.0;974.0;7578.969;2965
2020-02-01;AL;17327.0;0.0;0.0;1079.0;4481.891;905
2020-02-01;PE;7366.0;1.0;0.0;459.0;4403.006000000001;1236
2020-02-01;SE;14506.0;0.0;0.0;906.0;4770.63;1011
2020-02-01;BA;6425.0;1028.0;80.0;403.0;8216.288999999997;1858
2020-02-01;PI;297.0;203.0;16.0;18.0;2756.4100000000017;505
2020-02-01;PR;32135.0;61550.0;1612.0;1997.0;24079.757999999998;9374
2020-02-01;SC;16252.0;754.0;54.0;1005.0;4466.599000000002;1141
2020-02-01;RS;26719.0;2511.0;195.0;1660.0;19858.109000000008;2241
2020-02-01;PA;710.0;58770.0;4601.0;44.0;22281.738;13112
2020-02-01;RN;0.0;0.0;0.0;0.0;4905.347000000001;1239
2020-02-01;ES;822.0;929.0;72.0;50.0;1577.969;667
2020-02-01;PB;16.0;0.0;0.0;1.0;861.1320000000002;74
2020-02-01;CE;0.0;0.0;0.0;0.0;4402.244;895
2020-02-01;MT;3156.0;3118.0;243.0;196.0;4193.919000000003;1811
2020-02-01;MS;485.0;104.0;8.0;30.0;2491.313;505
2020-02-01;DF;0.0;63.0;5.0;0.0;30;18
2020-02-01;TO;797.0;5458.0;427.0;51.0;1914.6789999999999;1210
2020-02-01;MA;288.0;4011.0;314.0;18.0;3910.406999999999;1961
2020-02-01;RO;1461.0;20720.0;1622.0;94.0;8117.615000000001;6210
2020-02-01;AM;1281.0;2.0;0.0;80.0;1617.002;914
2020-02-01;AP;2080.0;222.0;17.0;130.0;965.95;378
2020-03-01;MG;35890.0;11863.0;926.0;2563.0;15917.688999999998;5880
2020-03-01;SP;21223.0;14293.0;1116.0;1518.0;21939.110999999997;7000
2020-03-01;RJ;906.0;1867.0;147.0;64.0;12003.506000000001;3717
2020-03-01;GO;17136.0;7372.0;578.0;1226.0;7578.969;3005
2020-03-01;AL;15095.0;0.0;0.0;1086.0;4481.891;868
2020-03-01;PE;6566.0;6.0;0.0;473.0;4403.006000000001;940
2020-03-01;SE;12324.0;0.0;0.0;887.0;4770.64;1047
2020-03-01;BA;6727.0;1001.0;77.0;484.0;8216.288999999997;1958
2020-03-01;PI;151.0;638.0;50.0;10.0;2806.4100000000017;531
2020-03-01;PR;38059.0;26760.0;691.0;2732.0;24079.757999999998;8132
2020-03-01;SC;19820.0;271.0;20.0;1422.0;4469.957000000002;836
2020-03-01;RS;31244.0;945.0;73.0;2242.0;20963.210000000014;1838
2020-03-01;PA;502.0;111382.0;8721.0;35.0;22281.738;15687
2020-03-01;RN;0.0;0.0;0.0;0.0;4994.597000000001;691
2020-03-01;ES;1075.0;931.0;71.0;78.0;1578.209;673
2020-03-01;PB;16.0;0.0;0.0;1.0;861.1320000000002;50
2020-03-01;CE;0.0;0.0;0.0;0.0;4525.244000000001;275
2020-03-01;MT;4361.0;2693.0;211.0;315.0;4194.687000000003;1654
2020-03-01;MS;810.0;41.0;3.0;58.0;2498.813;542
2020-03-01;DF;10.0;23.0;2.0;1.0;30;18
2020-03-01;TO;454.0;4619.0;363.0;31.0;1914.6789999999999;1228
2020-03-01;MA;85.0;6596.0;517.0;6.0;3910.406999999999;843
2020-03-01;RO;960.0;22145.0;1734.0;70.0;8117.615000000001;6185
2020-03-01;AM;179.0;330.0;26.0;13.0;1617.002;748
2020-03-01;AP;1788.0;1590.0;125.0;128.0;965.95;379
2020-01-01;MG;24428.0;14728.0;1145.0;1298.0;15919.688999999998;6006
2020-01-01;SP;22723.0;17992.0;1407.0;1208.0;21915.610999999997;7209
2020-01-01;RJ;1119.0;2443.0;193.0;60.0;12003.506000000001;5041
2020-01-01;GO;14921.0;3314.0;258.0;793.0;7578.969;2815
2020-01-01;AL;16619.0;0.0;0.0;893.0;4481.891;961
2020-01-01;PE;7057.0;0.0;0.0;379.0;4403.006000000001;1292
2020-01-01;SE;13208.0;0.0;0.0;711.0;4770.63;1074
2020-01-01;BA;6890.0;455.0;35.0;368.0;8216.288999999997;1761
2020-01-01;PI;415.0;15.0;1.0;22.0;2470.3600000000006;384
2020-01-01;PR;21870.0;101785.0;2857.0;1152.0;24079.757999999998;10996
2020-01-01;SC;14967.0;785.0;55.0;798.0;4460.086000000002;1338
2020-01-01;RS;22006.0;3724.0;288.0;1166.0;19858.109000000008;2556
2020-01-01;PA;23600.0;18093.0;1417.0;1260.0;22281.738;8601
2020-01-01;RN;0.0;0.0;0.0;0.0;4867.5470000000005;1286
2020-01-01;ES;1023.0;1102.0;85.0;57.0;1577.969;627
2020-01-01;PB;16.0;0.0;0.0;1.0;848.9320000000001;84
2020-01-01;CE;0.0;0.0;0.0;0.0;4402.244;1422
2020-01-01;MT;5118.0;2967.0;232.0;278.0;4193.919000000003;1561
2020-01-01;MS;387.0;158.0;12.0;21.0;2491.313;673
2020-01-01;DF;24.0;87.0;7.0;1.0;30;17
2020-01-01;TO;1669.0;3910.0;307.0;88.0;1914.6789999999999;980
2020-01-01;MA;2383.0;914.0;71.0;125.0;3910.406999999999;2289
2020-01-01;RO;307.0;31817.0;2491.0;15.0;8115.055;6532
2020-01-01;AM;764.0;7.0;1.0;41.0;1617.002;1063
2020-01-01;AP;3132.0;338.0;26.0;169.0;965.95;350
2020-10-01;MG;11517.0;34297.0;2679.0;661.0;15992.050999999998;7617
2020-10-01;SP;6929.0;31787.0;2491.0;401.0;22085.803999999996;9471
2020-10-01;RJ;1945.0;816.0;63.0;116.0;10067.891;4851
2020-10-01;GO;5087.0;13763.0;1074.0;304.0;7518.469000000001;3866
2020-10-01;AL;652.0;3312.0;259.0;38.0;4481.891;1834
2020-10-01;PE;557.0;2235.0;175.0;31.0;4233.797999999998;1730
