mes,uf,total_pago,total_recebido,total_energia_entregue,total_energia_recebida,total_capacidade,geracao_total_MWmed
2019-01-01,MG,34388,10559,845,2202,16192.215,5768
2019-01-01,SP,11995,21793,1755,762,21856.787,7723
2019-01-01,RJ,4398,351,28,282,13387.808,3994
2019-01-01,GO,13831,4061,326,888,7573.769,3134
2019-01-01,AL,21005,0,0,1352,4481.891,741
2019-01-01,PE,8850,0,0,570,4363.522,799
2019-01-01,SE,18103,0,0,1170,3255,847
2019-01-01,BA,8630,137,10,556,7855.644,2593
2019-01-01,PI,529,0,0,35,2229,741
2019-01-01,PR,6001,74874,3187,374,24024.26,12582
2019-01-01,SC,6778,3747,297,426,4384.994,2243
2019-01-01,RS,6514,11704,943,419,13969.32,4602
2019-01-01,PA,5251,26110,2105,356,22246.17,10318
2019-01-01,RN,0,0,0,0,4986.484,1649
2019-01-01,ES,2192,172,15,141,1576.389,380
2019-01-01,MS,280,426,33,18,2999.384,596
2019-01-01,PB,22,0,0,1,844.654,125
2019-01-01,CE,0,0,0,0,4325.244,799
2019-01-01,MT,1645,2362,192,106,3647.811,1439
2019-01-01,MA,118,3497,281,7,3826.107,910
2019-01-01,DF,221,0,0,14,30,7
2019-01-01,TO,4881,694,55,304,1909.679,862
2019-01-01,RO,14863,9528,768,937,8089.215,5145
2019-01-01,AM,1464,0,0,94,1722.002,849
2019-01-01,AP,865,2798,226,57,965.95,608
2019-02-01,MG,35233,5242,417,2461,16192.215,5764
2019-02-01,SP,11043,17480,1408,775,21877.087,7430
2019-02-01,RJ,3850,309,24,272,13387.808,5111
2019-02-01,GO,12676,3218,258,899,7573.769,2923
2019-02-01,AL,18574,0,0,1314,4481.891,682
2019-02-01,PE,7842,0,0,554,4363.522,1152
2019-02-01,SE,16213,0,0,1149,3255,771
2019-02-01,BA,7704,47,3,547,7995.644,1766
2019-02-01,PI,345,1,0,24,2229,457
2019-02-01,PR,7606,43814,1932,542,24031.56,10671
2019-02-01,SC,9968,2655,211,703,4384.994,1854
2019-02-01,RS,12609,7201,579,886,18369.32,3613
2019-02-01,PA,521,58546,4719,35,22246.17,12414
2019-02-01,RN,0,0,0,0,4986.484,1065
2019-02-01,ES,1517,49,3,106,1576.389,449
2019-02-01,MS,499,234,18,36,2999.384,806
2019-02-01,PB,18,0,0,1,844.654,211
2019-02-01,CE,0,0,0,0,4406.244,1390
2019-02-01,MT,930,3173,258,65,3678.025,1521
2019-02-01,MA,28,5065,408,2,3826.107,689
2019-02-01,DF,100,3,0,7,30,13
2019-02-01,TO,3376,333,27,237,1914.679,810
2019-02-01,RO,8958,10669,859,642,8089.215,5146
2019-02-01,AM,1174,0,0,83,1722.002,794
2019-02-01,AP,425,3159,256,31,965.95,627
2019-03-01,MG,58614,3221,255,3764,16201.215,4369
2019-03-01,SP,14940,16863,1358,960,21946.207,7090
2019-03-01,RJ,2351,609,49,152,13387.808,4306
2019-03-01,GO,21673,3562,287,1391,7578.769,2620
2019-03-01,AL,19641,0,0,1265,4481.891,677
2019-03-01,PE,8447,0,0,544,4392.522,1219
2019-03-01,SE,17162,0,0,1106,3255,754
2019-03-01,BA,7981,97,9,514,8137.624,2039
2019-03-01,PI,338,81,6,22,2229,527
2019-03-01,PR,7637,72863,2682,490,24031.56,11590
2019-03-01,SC,7117,4876,387,457,4394.744,2142
2019-03-01,RS,11672,7091,567,745,19509.32,3460
2019-03-01,PA,31,64551,5200,2,22246.17,12357
2019-03-01,RN,0,0,0,0,5009.584,804
2019-03-01,ES,1282,147,10,82,1576.389,375
2019-03-01,MS,664,89,7,42,3009.384,625
2019-03-01,PB,18,0,0,1,844.654,166
2019-03-01,CE,0,0,0,0,4406.244,1097
2019-03-01,MT,1415,3483,280,89,3678.745,1565
2019-03-01,MA,0,6916,558,0,3821.207,846
2019-03-01,DF,20,37,3,1,30,19
2019-03-01,TO,1076,1325,106,69,1914.679,998
2019-03-01,RO,13296,8305,669,858,8089.215,4457
2019-03-01,AM,731,0,0,47,1722.002,799
2019-03-01,AP,669,2654,213,43,965.95,546
2019-04-01,MG,52804,2471,194,3461,16200.359,4429
2019-04-01,SP,19270,9461,762,1251,21949.375,7473
2019-04-01,RJ,2820,407,32,189,13394.954,3495
2019-04-01,GO,19022,3249,258,1248,7578.769,2745
2019-04-01,AL,17582,0,0,1153,4481.891,732
2019-04-01,PE,7396,0,0,484,4397.522,925
2019-04-01,SE,15111,0,0,993,3255,828
2019-04-01,BA,9703,94,6,639,8137.624,2070
2019-04-01,PI,7,804,65,0,2229,649
2019-04-01,PR,6905,66517,2633,448,24031.56,11513
2019-04-01,SC,8732,2194,173,568,4395.092,1562
2019-04-01,RS,14047,4606,372,914,19509.32,2963
2019-04-01,PA,0,60491,4875,0,22246.17,11729
2019-04-01,RN,0,0,0,0,5009.584,961
2019-04-01,ES,1103,54,5,73,1576.389,535
2019-04-01,MS,383,139,11,26,3009.384,771
2019-04-01,PB,15,0,0,1,844.654,226
2019-04-01,CE,0,0,0,0,4406.244,1187
2019-04-01,MT,1682,3346,270,112,3692.045,1551
2019-04-01,DF,2,78,6,0,30,22
2019-04-01,TO,471,2188,177,32,1914.679,1005
2019-04-01,MA,0,6493,523,0,3813.207,808
2019-04-01,RO,4366,15228,1226,280,8091.055,5372
2019-04-01,AM,199,17,1,13,1722.002,798
2019-04-01,AP,162,3929,316,11,965.95,640
2019-05-01,MG,41942,1912,152,3029,16195.313,3925
2019-05-01,SP,16286,5078,410,1168,21963.375,7249
2019-05-01,RJ,1336,847,70,97,13394.954,3010
2019-05-01,GO,16628,1922,152,1199,7578.769,2432
2019-05-01,AL,13667,0,0,985,4481.891,764
2019-05-01,PE,5771,0,0,417,4396.33,811
2019-05-01,SE,11298,0,0,816,3255,876
2019-05-01,BA,7161,127,10,517,8183.024,2512
2019-05-01,PI,48,161,13,4,2229,820
2019-05-01,PR,11521,32902,1441,818,24042.33,9731
2019-05-01,SC,2888,6669,530,201,4395.092,2109
2019-05-01,RS,6811,10441,841,477,19854.32,3678
2019-05-01,PA,0,45115,3636,0,22246.17,11243
2019-05-01,RN,0,0,0,0,5009.584,1463
2019-05-01,ES,1120,68,4,81,1577.529,518
2019-05-01,MS,207,207,17,15,3009.384,809
2019-05-01,PB,9,0,0,1,847.834,213
2019-05-01,CE,0,0,0,0,4406.244,1040
2019-05-01,MT,1188,3231,262,88,3692.045,1498
2019-05-01,DF,30,49,4,2,30,14
2019-05-01,TO,1723,165,13,125,1914.679,615
2019-05-01,MA,890,2953,238,64,3813.207,544
2019-05-01,RO,368,24774,1997,27,8091.055,6237
2019-05-01,AM,84,57,5,6,1722.002,798
2019-05-01,AP,0,4304,348,0,965.95,669
2019-06-01,MG,32344,1078,85,2099,16201.938,3647
2019-06-01,SP,13946,8503,685,905,21966.751,7239
2019-06-01,RJ,1094,1020,81,70,13394.954,3739
2019-06-01,GO,15860,809,65,1042,7578.769,2318
2019-06-01,AL,12623,0,0,820,4481.891,746
2019-06-01,PE,5217,24,2,338,4396.33,952
2019-06-01,SE,10064,0,0,659,3255,863
2019-06-01,BA,6239,93,7,405,8193.024,3038
2019-06-01,PI,104,81,7,7,2229,1178
2019-06-01,PR,1986,63751,3008,136,24039.33,10453
2019-06-01,SC,1294,9720,775,69,4402.992,2167
2019-06-01,RS,4453,12130,976,268,19855.184,3588
2019-06-01,PA,14850,6980,563,890,22246.17,7448
2019-06-01,RN,0,0,0,0,5009.584,2032
2019-06-01,ES,1761,7,0,115,1577.969,402
2019-06-01,MS,55,355,29,3,3009.384,735
2019-06-01,PB,13,0,0,1,847.834,103
2019-06-01,CE,0,0,0,0,4406.244,686
2019-06-01,MT,917,2080,167,62,4095.925,1309
2019-06-01,DF,63,0,0,4,30,5
2019-06-01,TO,3251,7,0,214,1914.679,527
2019-06-01,MA,5640,9,1,366,3813.207,901
2019-06-01,RO,235,21911,1765,16,8091.055,5343
2019-06-01,AM,105,202,16,8,1722.002,840
2019-06-01,AP,41,2008,161,3,965.95,653
2019-07-01,MG,22294,6517,521,1261,16201.938,4410
2019-07-01,SP,10071,9348,748,558,22047.751,7539
2019-07-01,RJ,1438,1115,90,82,13394.954,4352
2019-07-01,GO,9006,2980,240,514,7580.969,2628
2019-07-01,AL,12037,0,0,682,4481.891,748
2019-07-01,PE,4941,55,4,278,4402.53,1195
2019-07-01,SE,9108,0,0,523,3255,868
2019-07-01,BA,5855,60,4,334,8209.024,2905
