mes;IGPM
segunda-feira, 1 de janeiro de 2018;0,76
quinta-feira, 1 de fevereiro de 2018;0,07
quinta-feira, 1 de março de 2018;0,64
domingo, 1 de abril de 2018;0,57
terça-feira, 1 de maio de 2018;1,38
sexta-feira, 1 de junho de 2018;1,87
domingo, 1 de julho de 2018;0,51
quarta-feira, 1 de agosto de 2018;0,7
sábado, 1 de setembro de 2018;1,52
segunda-feira, 1 de outubro de 2018;0,89
quinta-feira, 1 de novembro de 2018;-0,49
sábado, 1 de dezembro de 2018;-1,08
terça-feira, 1 de janeiro de 2019;0,01
sexta-feira, 1 de fevereiro de 2019;0,88
sexta-feira, 1 de março de 2019;1,26
segunda-feira, 1 de abril de 2019;0,92
quarta-feira, 1 de maio de 2019;0,45
sábado, 1 de junho de 2019;0,8
segunda-feira, 1 de julho de 2019;0,4
quinta-feira, 1 de agosto de 2019;-0,67
domingo, 1 de setembro de 2019;-0,01
terça-feira, 1 de outubro de 2019;0,68
sexta-feira, 1 de novembro de 2019;0,3
domingo, 1 de dezembro de 2019;2,09
quarta-feira, 1 de janeiro de 2020;0,48
sábado, 1 de fevereiro de 2020;-0,04
domingo, 1 de março de 2020;1,24
quarta-feira, 1 de abril de 2020;0,8
sexta-feira, 1 de maio de 2020;0,28
segunda-feira, 1 de junho de 2020;1,56
quarta-feira, 1 de julho de 2020;2,23
sábado, 1 de agosto de 2020;2,74
terça-feira, 1 de setembro de 2020;4,34
quinta-feira, 1 de outubro de 2020;3,23
domingo, 1 de novembro de 2020;3,28
terça-feira, 1 de dezembro de 2020;0,96
sexta-feira, 1 de janeiro de 2021;2,58
segunda-feira, 1 de fevereiro de 2021;2,53
segunda-feira, 1 de março de 2021;2,94
quinta-feira, 1 de abril de 2021;1,51
sábado, 1 de maio de 2021;4,1
terça-feira, 1 de junho de 2021;0,6
quinta-feira, 1 de julho de 2021;0,78
domingo, 1 de agosto de 2021;0,66
quarta-feira, 1 de setembro de 2021;-0,64
sexta-feira, 1 de outubro de 2021;0,64
segunda-feira, 1 de novembro de 2021;0,02
quarta-feira, 1 de dezembro de 2021;0,87
sábado, 1 de janeiro de 2022;1,82
terça-feira, 1 de fevereiro de 2022;1,83
terça-feira, 1 de março de 2022;1,74
sexta-feira, 1 de abril de 2022;1,41
domingo, 1 de maio de 2022;0,52
