id_subsistema;nom_subsistema;id_estado;nom_estado;nom_modalidadeoperacao;nom_agenteproprietario;nom_tipousina;nom_usina;ceg;nom_unidadegeradora;num_unidadegeradora;nom_combustivel;dat_entradateste;dat_entradaoperacao;dat_desativacao;val_potenciaefetiva
NE;NORDESTE;AL;ALAGOAS;TIPO I;CHESF;HIDROELÉTRICA;XINGÓ;UHE.PH.SE.027053-9.01;UG  527 MW USINA XINGO               1 AL;1;HIDRÁULICA;22/08/1997;22/08/1997;;527.0
NE;NORDESTE;AL;ALAGOAS;TIPO I;CHESF;HIDROELÉTRICA;XINGÓ;UHE.PH.SE.027053-9.01;UG  527 MW USINA XINGO               2 AL;2;HIDRÁULICA;20/12/1996;20/12/1996;;527.0
NE;NORDESTE;AL;ALAGOAS;TIPO I;CHESF;HIDROELÉTRICA;XINGÓ;UHE.PH.SE.027053-9.01;UG  527 MW USINA XINGO               3 AL;3;HIDRÁULICA;31/07/1996;31/07/1996;;527.0
NE;NORDESTE;AL;ALAGOAS;TIPO I;CHESF;HIDROELÉTRICA;XINGÓ;UHE.PH.SE.027053-9.01;UG  527 MW USINA XINGO               4 AL;4;HIDRÁULICA;26/10/1995;26/10/1995;;527.0
NE;NORDESTE;AL;ALAGOAS;TIPO I;CHESF;HIDROELÉTRICA;XINGÓ;UHE.PH.SE.027053-9.01;UG  527 MW USINA XINGO               5 AL;5;HIDRÁULICA;31/01/1995;31/01/1995;;527.0
NE;NORDESTE;AL;ALAGOAS;TIPO I;CHESF;HIDROELÉTRICA;XINGÓ;UHE.PH.SE.027053-9.01;UG  527 MW USINA XINGO               6 AL;6;HIDRÁULICA;30/04/1994;30/04/1994;;527.0
NE;NORDESTE;AL;ALAGOAS;TIPO I;BRASYMPE;TÉRMICA;RIO LARGO BRASYMPE;UTE.PE.AL.028505-6.01;UG 1P64 MW RIO LARGO              G100 AL;G100;ÓLEO DIESEL;30/07/2002;05/08/2002;01/01/2006;1.64
NE;NORDESTE;AL;ALAGOAS;TIPO I;BRASYMPE;TÉRMICA;RIO LARGO BRASYMPE;UTE.PE.AL.028505-6.01;UG 1P64 MW RIO LARGO              G101 AL;G101;ÓLEO DIESEL;30/07/2002;05/08/2002;01/01/2006;1.64
NE;NORDESTE;AL;ALAGOAS;TIPO I;BRASYMPE;TÉRMICA;RIO LARGO BRASYMPE;UTE.PE.AL.028505-6.01;UG 1P64 MW RIO LARGO              G102 AL;G102;ÓLEO DIESEL;30/07/2002;05/08/2002;01/01/2006;1.64
NE;NORDESTE;AL;ALAGOAS;TIPO I;BRASYMPE;TÉRMICA;RIO LARGO BRASYMPE;UTE.PE.AL.028505-6.01;UG 1P64 MW RIO LARGO              G103 AL;G103;ÓLEO DIESEL;30/07/2002;05/08/2002;01/01/2006;1.64
NE;NORDESTE;AL;ALAGOAS;TIPO I;BRASYMPE;TÉRMICA;RIO LARGO BRASYMPE;UTE.PE.AL.028505-6.01;UG 1P64 MW RIO LARGO              G104 AL;G104;ÓLEO DIESEL;30/07/2002;05/08/2002;01/01/2006;1.64
