id_subsistema;nom_subsistema;din_instante;val_cargaenergiahomwmed
N;NORTE;2022-01-01 00:00:00;5152.56599999
NE;NORDESTE;2022-01-01 00:00:00;10508.822
S;SUL;2022-01-01 00:00:00;10096.152
SE;SUDESTE;2022-01-01 00:00:00;31822.656
N;NORTE;2022-01-01 01:00:00;5223.93599999
NE;NORDESTE;2022-01-01 01:00:00;10598.65399999
S;SUL;2022-01-01 01:00:00;10226.531
SE;SUDESTE;2022-01-01 01:00:00;31470.53499999
N;NORTE;2022-01-01 02:00:00;5251.23999999
NE;NORDESTE;2022-01-01 02:00:00;10625.716
S;SUL;2022-01-01 02:00:00;10007.274
SE;SUDESTE;2022-01-01 02:00:00;30709.419
N;NORTE;2022-01-01 03:00:00;5253.753
NE;NORDESTE;2022-01-01 03:00:00;10583.828
S;SUL;2022-01-01 03:00:00;9671.304
SE;SUDESTE;2022-01-01 03:00:00;29996.61699999
N;NORTE;2022-01-01 04:00:00;5245.21099999
NE;NORDESTE;2022-01-01 04:00:00;10495.13699999
S;SUL;2022-01-01 04:00:00;9454.894
SE;SUDESTE;2022-01-01 04:00:00;29543.13999999
N;NORTE;2022-01-01 05:00:00;5158.94899999
NE;NORDESTE;2022-01-01 05:00:00;9776.71499999
S;SUL;2022-01-01 05:00:00;8950.31
SE;SUDESTE;2022-01-01 05:00:00;28524.856
N;NORTE;2022-01-01 06:00:00;4944.521
NE;NORDESTE;2022-01-01 06:00:00;9256.38499999
S;SUL;2022-01-01 06:00:00;8535.528
SE;SUDESTE;2022-01-01 06:00:00;27355.98799999
N;NORTE;2022-01-01 07:00:00;4664.97899999
NE;NORDESTE;2022-01-01 07:00:00;9215.98
S;SUL;2022-01-01 07:00:00;8441.99499999
SE;SUDESTE;2022-01-01 07:00:00;27222.50599999
N;NORTE;2022-01-01 08:00:00;4530.381
NE;NORDESTE;2022-01-01 08:00:00;9024.172
S;SUL;2022-01-01 08:00:00;8278.249
SE;SUDESTE;2022-01-01 08:00:00;27375.227
N;NORTE;2022-01-01 09:00:00;4452.676
NE;NORDESTE;2022-01-01 09:00:00;8891.528
S;SUL;2022-01-01 09:00:00;8215.29999999
SE;SUDESTE;2022-01-01 09:00:00;28133.48599999
N;NORTE;2022-01-01 10:00:00;4494.443
NE;NORDESTE;2022-01-01 10:00:00;8843.04799999
S;SUL;2022-01-01 10:00:00;8256.17
SE;SUDESTE;2022-01-01 10:00:00;28926.28299999
N;NORTE;2022-01-01 11:00:00;4477.94799999
NE;NORDESTE;2022-01-01 11:00:00;8807.97199999
S;SUL;2022-01-01 11:00:00;8334.52099999
SE;SUDESTE;2022-01-01 11:00:00;29845.286
N;NORTE;2022-01-01 12:00:00;4469.773
NE;NORDESTE;2022-01-01 12:00:00;8820.09399999
S;SUL;2022-01-01 12:00:00;8326.486
SE;SUDESTE;2022-01-01 12:00:00;30063.027
N;NORTE;2022-01-01 13:00:00;4454.951
NE;NORDESTE;2022-01-01 13:00:00;8898.36899999
S;SUL;2022-01-01 13:00:00;8475.12099999
SE;SUDESTE;2022-01-01 13:00:00;29667.392
N;NORTE;2022-01-01 14:00:00;4551.23699999
NE;NORDESTE;2022-01-01 14:00:00;9076.852
S;SUL;2022-01-01 14:00:00;8818.79
SE;SUDESTE;2022-01-01 14:00:00;29493.886
N;NORTE;2022-01-01 15:00:00;4687.005
NE;NORDESTE;2022-01-01 15:00:00;9312.267
S;SUL;2022-01-01 15:00:00;9200.143
SE;SUDESTE;2022-01-01 15:00:00;29859.529
N;NORTE;2022-01-01 16:00:00;4770.58799999
NE;NORDESTE;2022-01-01 16:00:00;9539.26899999
S;SUL;2022-01-01 16:00:00;9713.633
SE;SUDESTE;2022-01-01 16:00:00;30933.386
N;NORTE;2022-01-01 17:00:00;4884.496
NE;NORDESTE;2022-01-01 17:00:00;9800.08999999
S;SUL;2022-01-01 17:00:00;10393.02899999
SE;SUDESTE;2022-01-01 17:00:00;32586.844
N;NORTE;2022-01-01 18:00:00;5247.03799999
NE;NORDESTE;2022-01-01 18:00:00;10973.60299999
S;SUL;2022-01-01 18:00:00;11119.282
SE;SUDESTE;2022-01-01 18:00:00;34970.132
N;NORTE;2022-01-01 19:00:00;5582.805
NE;NORDESTE;2022-01-01 19:00:00;11421.791
S;SUL;2022-01-01 19:00:00;12084.675
SE;SUDESTE;2022-01-01 19:00:00;38402.312
N;NORTE;2022-01-01 20:00:00;5717.101
NE;NORDESTE;2022-01-01 20:00:00;11455.502
S;SUL;2022-01-01 20:00:00;13024.612
SE;SUDESTE;2022-01-01 20:00:00;39016.85399999
N;NORTE;2022-01-01 21:00:00;5826.73699999
NE;NORDESTE;2022-01-01 21:00:00;11532.956
S;SUL;2022-01-01 21:00:00;12829.902
SE;SUDESTE;2022-01-01 21:00:00;38264.75499999
N;NORTE;2022-01-01 22:00:00;5921.508
NE;NORDESTE;2022-01-01 22:00:00;11541.34899999
S;SUL;2022-01-01 22:00:00;12716.435
SE;SUDESTE;2022-01-01 22:00:00;37205.32099999
N;NORTE;2022-01-01 23:00:00;5912.085
NE;NORDESTE;2022-01-01 23:00:00;11426.62899999
S;SUL;2022-01-01 23:00:00;12238.574
SE;SUDESTE;2022-01-01 23:00:00;35662.418
N;NORTE;2022-01-02 00:00:00;5785.98399999
NE;NORDESTE;2022-01-02 00:00:00;11044.85
S;SUL;2022-01-02 00:00:00;11578.31
SE;SUDESTE;2022-01-02 00:00:00;33896.989
N;NORTE;2022-01-02 01:00:00;5618.359
NE;NORDESTE;2022-01-02 01:00:00;10715.859
S;SUL;2022-01-02 01:00:00;11006.705
SE;SUDESTE;2022-01-02 01:00:00;32287.88
N;NORTE;2022-01-02 02:00:00;5524.30799999
NE;NORDESTE;2022-01-02 02:00:00;10477.95099999
S;SUL;2022-01-02 02:00:00;10497.605
SE;SUDESTE;2022-01-02 02:00:00;31211.99899999
N;NORTE;2022-01-02 03:00:00;5386.473
NE;NORDESTE;2022-01-02 03:00:00;10299.703
S;SUL;2022-01-02 03:00:00;10144.64499999
SE;SUDESTE;2022-01-02 03:00:00;30555.61499999
N;NORTE;2022-01-02 04:00:00;5295.44299999
NE;NORDESTE;2022-01-02 04:00:00;10197.807
S;SUL;2022-01-02 04:00:00;9912.856
SE;SUDESTE;2022-01-02 04:00:00;30335.21899999
N;NORTE;2022-01-02 05:00:00;5235.029
NE;NORDESTE;2022-01-02 05:00:00;9587.79
S;SUL;2022-01-02 05:00:00;9447.419
SE;SUDESTE;2022-01-02 05:00:00;29567.728
N;NORTE;2022-01-02 06:00:00;4962.666
NE;NORDESTE;2022-01-02 06:00:00;9179.42499999
S;SUL;2022-01-02 06:00:00;9114.287
SE;SUDESTE;2022-01-02 06:00:00;28696.03799999
N;NORTE;2022-01-02 07:00:00;4781.647
NE;NORDESTE;2022-01-02 07:00:00;9153.524
S;SUL;2022-01-02 07:00:00;9208.10899999
SE;SUDESTE;2022-01-02 07:00:00;29075.243
N;NORTE;2022-01-02 08:00:00;4744.09899999
NE;NORDESTE;2022-01-02 08:00:00;9056.30599999
S;SUL;2022-01-02 08:00:00;9225.902
SE;SUDESTE;2022-01-02 08:00:00;29842.812
N;NORTE;2022-01-02 09:00:00;4634.356
NE;NORDESTE;2022-01-02 09:00:00;8797.691
S;SUL;2022-01-02 09:00:00;9203.87999999
SE;SUDESTE;2022-01-02 09:00:00;30742.884
N;NORTE;2022-01-02 10:00:00;4659.99999999
NE;NORDESTE;2022-01-02 10:00:00;8754.28
S;SUL;2022-01-02 10:00:00;9390.133
SE;SUDESTE;2022-01-02 10:00:00;31551.92099999
N;NORTE;2022-01-02 11:00:00;4732.70699999
NE;NORDESTE;2022-01-02 11:00:00;8872.203
S;SUL;2022-01-02 11:00:00;9812.779
SE;SUDESTE;2022-01-02 11:00:00;32314.045
N;NORTE;2022-01-02 12:00:00;4813.339
NE;NORDESTE;2022-01-02 12:00:00;9001.39399999
S;SUL;2022-01-02 12:00:00;10049.26899999
SE;SUDESTE;2022-01-02 12:00:00;32697.22099999
N;NORTE;2022-01-02 13:00:00;4927.60099999
NE;NORDESTE;2022-01-02 13:00:00;9217.44199999
S;SUL;2022-01-02 13:00:00;10377.892
SE;SUDESTE;2022-01-02 13:00:00;32904.081
N;NORTE;2022-01-02 14:00:00;5035.149
NE;NORDESTE;2022-01-02 14:00:00;9437.19299999
S;SUL;2022-01-02 14:00:00;10717.71999999
SE;SUDESTE;2022-01-02 14:00:00;33011.606
N;NORTE;2022-01-02 15:00:00;5160.80899999
NE;NORDESTE;2022-01-02 15:00:00;9705.272
S;SUL;2022-01-02 15:00:00;10887.72899999
SE;SUDESTE;2022-01-02 15:00:00;33723.86999999
N;NORTE;2022-01-02 16:00:00;5205.01
NE;NORDESTE;2022-01-02 16:00:00;9837.79099999
S;SUL;2022-01-02 16:00:00;11178.44099999
SE;SUDESTE;2022-01-02 16:00:00;35004.57899999
N;NORTE;2022-01-02 17:00:00;5226.273
NE;NORDESTE;2022-01-02 17:00:00;10303.32
S;SUL;2022-01-02 17:00:00;11672.399
SE;SUDESTE;2022-01-02 17:00:00;36567.279
N;NORTE;2022-01-02 18:00:00;5605.54
NE;NORDESTE;2022-01-02 18:00:00;11592.658
S;SUL;2022-01-02 18:00:00;12177.38699999
SE;SUDESTE;2022-01-02 18:00:00;38556.063
N;NORTE;2022-01-02 19:00:00;5985.712
NE;NORDESTE;2022-01-02 19:00:00;11889.122
S;SUL;2022-01-02 19:00:00;13050.58
SE;SUDESTE;2022-01-02 19:00:00;41456.25099999
N;NORTE;2022-01-02 20:00:00;6039.758
NE;NORDESTE;2022-01-02 20:00:00;11845.64999999
S;SUL;2022-01-02 20:00:00;13644.186
SE;SUDESTE;2022-01-02 20:00:00;41788.65399999
N;NORTE;2022-01-02 21:00:00;6113.48399999
NE;NORDESTE;2022-01-02 21:00:00;11875.95999999
S;SUL;2022-01-02 21:00:00;13569.804
SE;SUDESTE;2022-01-02 21:00:00;41047.37999999
N;NORTE;2022-01-02 22:00:00;6228.035
NE;NORDESTE;2022-01-02 22:00:00;11807.1
S;SUL;2022-01-02 22:00:00;13469.667
SE;SUDESTE;2022-01-02 22:00:00;39738.11199999
N;NORTE;2022-01-02 23:00:00;6231.95999999
NE;NORDESTE;2022-01-02 23:00:00;11511.907
S;SUL;2022-01-02 23:00:00;13045.141
SE;SUDESTE;2022-01-02 23:00:00;37981.648
N;NORTE;2022-01-03 00:00:00;6245.625
NE;NORDESTE;2022-01-03 00:00:00;11230.56499999
S;SUL;2022-01-03 00:00:00;12439.06499999
SE;SUDESTE;2022-01-03 00:00:00;35942.262
N;NORTE;2022-01-03 01:00:00;6169.81799999
NE;NORDESTE;2022-01-03 01:00:00;10840.59099999
S;SUL;2022-01-03 01:00:00;11947.92099999
SE;SUDESTE;2022-01-03 01:00:00;34490.93599999
N;NORTE;2022-01-03 02:00:00;6062.535
NE;NORDESTE;2022-01-03 02:00:00;10579.158
S;SUL;2022-01-03 02:00:00;11620.194
SE;SUDESTE;2022-01-03 02:00:00;33471.75699999
N;NORTE;2022-01-03 03:00:00;5941.14799999
NE;NORDESTE;2022-01-03 03:00:00;10463.94099999
S;SUL;2022-01-03 03:00:00;11393.45899999
SE;SUDESTE;2022-01-03 03:00:00;32889.32999999
N;NORTE;2022-01-03 04:00:00;5882.95
NE;NORDESTE;2022-01-03 04:00:00;10301.926
S;SUL;2022-01-03 04:00:00;11288.911
SE;SUDESTE;2022-01-03 04:00:00;32894.07499999
N;NORTE;2022-01-03 05:00:00;5795.70599999
NE;NORDESTE;2022-01-03 05:00:00;9727.22699999
S;SUL;2022-01-03 05:00:00;11233.518
SE;SUDESTE;2022-01-03 05:00:00;33130.07499999
N;NORTE;2022-01-03 06:00:00;5562.977
NE;NORDESTE;2022-01-03 06:00:00;9494.096
S;SUL;2022-01-03 06:00:00;11294.715
SE;SUDESTE;2022-01-03 06:00:00;34110.76
N;NORTE;2022-01-03 07:00:00;5482.719
NE;NORDESTE;2022-01-03 07:00:00;9950.98
S;SUL;2022-01-03 07:00:00;12079.214
SE;SUDESTE;2022-01-03 07:00:00;36625.547
N;NORTE;2022-01-03 08:00:00;5704.429
NE;NORDESTE;2022-01-03 08:00:00;10610.09499999
S;SUL;2022-01-03 08:00:00;13164.20099999
SE;SUDESTE;2022-01-03 08:00:00;39264.031
N;NORTE;2022-01-03 09:00:00;5814.29999999
NE;NORDESTE;2022-01-03 09:00:00;10821.882
S;SUL;2022-01-03 09:00:00;13577.62599999
SE;SUDESTE;2022-01-03 09:00:00;40877.43599999
N;NORTE;2022-01-03 10:00:00;5804.29
NE;NORDESTE;2022-01-03 10:00:00;10994.14199999
S;SUL;2022-01-03 10:00:00;13924.186
SE;SUDESTE;2022-01-03 10:00:00;41829.442
N;NORTE;2022-01-03 11:00:00;5710.12499999
NE;NORDESTE;2022-01-03 11:00:00;10918.92999999
S;SUL;2022-01-03 11:00:00;14193.755
SE;SUDESTE;2022-01-03 11:00:00;42210.782
N;NORTE;2022-01-03 12:00:00;5559.521
NE;NORDESTE;2022-01-03 12:00:00;10610.02299999
S;SUL;2022-01-03 12:00:00;13803.22099999
SE;SUDESTE;2022-01-03 12:00:00;42277.512
N;NORTE;2022-01-03 13:00:00;5648.04999999
NE;NORDESTE;2022-01-03 13:00:00;10850.86599999
S;SUL;2022-01-03 13:00:00;14718.14699999
SE;SUDESTE;2022-01-03 13:00:00;43012.11399999
N;NORTE;2022-01-03 14:00:00;5892.36399999
NE;NORDESTE;2022-01-03 14:00:00;11184.62099999
S;SUL;2022-01-03 14:00:00;15299.881
SE;SUDESTE;2022-01-03 14:00:00;43764.14999999
N;NORTE;2022-01-03 15:00:00;6028.431
NE;NORDESTE;2022-01-03 15:00:00;11335.452
S;SUL;2022-01-03 15:00:00;15455.739
SE;SUDESTE;2022-01-03 15:00:00;44379.805
N;NORTE;2022-01-03 16:00:00;6066.644
NE;NORDESTE;2022-01-03 16:00:00;11239.43599999
S;SUL;2022-01-03 16:00:00;15430.12599999
SE;SUDESTE;2022-01-03 16:00:00;44590.037
N;NORTE;2022-01-03 17:00:00;6002.022
NE;NORDESTE;2022-01-03 17:00:00;10837.75499999
S;SUL;2022-01-03 17:00:00;14988.896
SE;SUDESTE;2022-01-03 17:00:00;43696.16599999
N;NORTE;2022-01-03 18:00:00;5977.94399999
NE;NORDESTE;2022-01-03 18:00:00;11420.678
S;SUL;2022-01-03 18:00:00;13906.96899999
SE;SUDESTE;2022-01-03 18:00:00;43957.461
N;NORTE;2022-01-03 19:00:00;6142.95899999
NE;NORDESTE;2022-01-03 19:00:00;11663.571
S;SUL;2022-01-03 19:00:00;14600.231
SE;SUDESTE;2022-01-03 19:00:00;46802.391
N;NORTE;2022-01-03 20:00:00;6193.503
NE;NORDESTE;2022-01-03 20:00:00;11674.59099999
S;SUL;2022-01-03 20:00:00;15231.72899999
SE;SUDESTE;2022-01-03 20:00:00;46811.494
N;NORTE;2022-01-03 21:00:00;6261.72699999
NE;NORDESTE;2022-01-03 21:00:00;12177.29
S;SUL;2022-01-03 21:00:00;15443.424
SE;SUDESTE;2022-01-03 21:00:00;46007.097
N;NORTE;2022-01-03 22:00:00;6336.96199999
NE;NORDESTE;2022-01-03 22:00:00;12236.76899999
S;SUL;2022-01-03 22:00:00;15284.69699999
SE;SUDESTE;2022-01-03 22:00:00;44038.933
N;NORTE;2022-01-03 23:00:00;6286.059
NE;NORDESTE;2022-01-03 23:00:00;12076.80999999
S;SUL;2022-01-03 23:00:00;14609.937
SE;SUDESTE;2022-01-03 23:00:00;41612.28999999
N;NORTE;2022-01-04 00:00:00;6201.49299999
NE;NORDESTE;2022-01-04 00:00:00;11751.72099999
S;SUL;2022-01-04 00:00:00;13736.442
SE;SUDESTE;2022-01-04 00:00:00;39313.031
N;NORTE;2022-01-04 01:00:00;6073.062
NE;NORDESTE;2022-01-04 01:00:00;11340.19
S;SUL;2022-01-04 01:00:00;13030.996
SE;SUDESTE;2022-01-04 01:00:00;37393.877
N;NORTE;2022-01-04 02:00:00;5983.099
NE;NORDESTE;2022-01-04 02:00:00;11068.302
S;SUL;2022-01-04 02:00:00;12645.759
SE;SUDESTE;2022-01-04 02:00:00;36347.214
N;NORTE;2022-01-04 03:00:00;5849.535
NE;NORDESTE;2022-01-04 03:00:00;10948.286
S;SUL;2022-01-04 03:00:00;12418.649
SE;SUDESTE;2022-01-04 03:00:00;35767.82099999
N;NORTE;2022-01-04 04:00:00;5765.38099999
NE;NORDESTE;2022-01-04 04:00:00;10800.66
S;SUL;2022-01-04 04:00:00;12253.675
SE;SUDESTE;2022-01-04 04:00:00;35691.024
N;NORTE;2022-01-04 05:00:00;5679.83899999
NE;NORDESTE;2022-01-04 05:00:00;10198.83499999
S;SUL;2022-01-04 05:00:00;12217.611
SE;SUDESTE;2022-01-04 05:00:00;35775.80199999
N;NORTE;2022-01-04 06:00:00;5440.475
