Hora;Submercado;1/3/2022;2/3/2022;3/3/2022;4/3/2022;5/3/2022;6/3/2022;7/3/2022;8/3/2022;9/3/2022;10/3/2022;11/3/2022;12/3/2022;13/3/2022;14/3/2022;15/3/2022;16/3/2022;17/3/2022;18/3/2022;19/3/2022;20/3/2022;21/3/2022;22/3/2022;23/3/2022;24/3/2022;25/3/2022;26/3/2022;27/3/2022;28/3/2022;29/3/2022;30/3/2022;31/3/2022
0;SUDESTE;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7
0;SUL;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7
0;NORDESTE;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7
0;NORTE;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7
1;SUDESTE;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7
1;SUL;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7
1;NORDESTE;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7
1;NORTE;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7
2;SUDESTE;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7
2;SUL;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7;55,7
